ProductName,Seller,UsageType,Region,CostUSD
GCP Fastly for GCP Marketplace,fastly-public-46a6,D27A-A4CF-6B01:Fastlypublic46a6,(not set),230604.04
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,64A1-DB8B-7CDA:41748,us-central1,64513.1197819999
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,64A1-DB8B-7CDA:41748,us-west4,62623.5502179999
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,009E-7D88-7AE8:41748,us-east4,53447.39834400002
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,009E-7D88-7AE8:41748,us-west2,50071.497941000016
"GCP NetApp, Inc. Cloud Manager for Cloud Volumes ONTAP",netapp-cloudmanager,3DB9-5B25-7E2D:Netappcloudmanager,(not set),37235.4623781306
"GCP NetApp, Inc. Cloud Manager for Cloud Volumes ONTAP",netapp-cloudmanager,0B7C-DFF0-FEB4:Netappcloudmanager,ha pair,34583.51082937767
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,009E-7D88-7AE8:41748,us-central1,24957.26662800001
GCP Matillion ETL for BigQuery - Extra Large,matillion-etl-for-bq-public,D4E5-9C65-9856:Matillionetlforbqpublic,us-east1,19117.822320000003
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,1799-9615-FEB5:Fortigcpproject001,us-central1,15192.81059895217
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,64A1-DB8B-7CDA:41748,europe-west3,14447.402226477396
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,64A1-DB8B-7CDA:41748,europe-west4,14032.401878238692
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,9666-B734-2423:41748,us-west2,10250.077707000002
GCP Elastic Cloud (managed Elasticsearch Service),Elasticsearch,C992-4EB3-EFC4:Elasticsearch,(not set),9549.2865
"GCP NetApp, Inc. Cloud Manager for Cloud Volumes ONTAP",netapp-cloudmanager,06B6-369A-3B70:Netappcloudmanager,(not set),9541.58994336539
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,1799-9615-FEB5:Fortigcpproject001,southamerica-east1,7588.835295546418
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,E56A-940F-3700:41748,us-west4,6222.110758000001
"GCP Palo Alto Networks, Inc. VM-Series Next-Generation Firewall (Bundle2)","Palo Alto Networks, Inc.",AE77-ABC5-AE32:PaloAltoNetworksInc,europe-west3,6214.061517268444
GCP Aiven Managed Database Services,Aiven,E2DA-909F-A694:Aiven,(not set),5000.219
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,1799-9615-FEB5:Fortigcpproject001,us-west1,4427.217358999998
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,1799-9615-FEB5:Fortigcpproject001,us-west2,4201.555310999999
GCP Compute Engine,Canonical,69F1-E4DD-0213:Canonical,us-east1,3708.869874
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,BD3A-C098-07D4:Fortigcpproject001,us-central1,3191.452949620517
GCP Compute Engine,RedHat,334B-A580-657C:RedHat,europe-west3,3182.197685999999
"GCP Palo Alto Networks, Inc. VM-Series Next-Generation Firewall (Bundle2)","Palo Alto Networks, Inc.",AE77-ABC5-AE32:PaloAltoNetworksInc,europe-west4,3107.0305112446777
GCP Redis Labs Redis Enterprise Cloud,Redis Labs,E857-A714-E972:RedisLabs,(not set),3046.6800000000017
GCP Redis Labs Redis Enterprise Cloud,Redis Labs,9D14-6C2F-245D:RedisLabs,(not set),2784.7919999999976
GCP Redis Labs Redis Enterprise Cloud,Redis Labs,62A1-1A6A-F81A:RedisLabs,(not set),2685.8399999999992
GCP Litmus Automation Inc Intelligent Manufacturing Connect,Litmus Automation Inc,9D33-A660-C950:LitmusAutomationInc,(not set),2610.984521999999
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,360C-99CB-EB21:Fortigcpproject001,us-central1,2380.7994720000006
GCP Cognosys Inc. Visual Studio Enterprise 2019 on Windows Server 2016,Cognosys,18AD-3BBC-D305:Cognosys,australia-southeast1,2179.180278508103
"GCP Palo Alto Networks, Inc. VM-Series Next-Generation Firewall Bundle 2",Palo Alto Networks,6C97-F838-70BB:PaloAltoNetworks,us-west4,1904.6394730000004
"GCP Palo Alto Networks, Inc. VM-Series Next-Generation Firewall Bundle 2",Palo Alto Networks,6C97-F838-70BB:PaloAltoNetworks,us-east4,1904.4947590000002
GCP Compute Engine,Canonical,39FC-D2F3-6981:Canonical,us-east1,1867.2416679999997
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,009E-7D88-7AE8:41748,us-west4,1841.399999999998
GCP Fortinet Inc. Fortinet FortiADC Application Delivery Controller PAYG 5Gbps,Fortinet Inc.,A4C3-9442-6186:FortinetInc,us-west1,1552.2264239999997
"GCP NGINX, Inc NGINX Plus Enterprise - RHEL 8","NGINX, Inc",15CD-827E-A8D3:NGINXInc,us-east4,1517.7590420000001
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,1799-9615-FEB5:Fortigcpproject001,asia-southeast1,1506.312256
GCP JFrog Cloud Pro X,JFrog,3ACC-829C-EAC8:JFrog,(not set),1361.25
GCP Fortinet Inc. Fortinet FortiADC Application Delivery Controller PAYG 1Gbps,Fortinet Inc.,A015-0A74-1251:FortinetInc,us-west1,1351.174786
GCP StreamSets Inc StreamSets Data Collector,StreamSets Inc,75A7-3A39-5787:StreamSetsInc,southamerica-east1,1267.6032297576296
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,009E-7D88-7AE8:41748,europe-west3,1227.6000000000006
GCP Compute Engine,Canonical,69F1-E4DD-0213:Canonical,northamerica-northeast1,1222.0752980000004
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,1799-9615-FEB5:Fortigcpproject001,asia-southeast2,1191.301834
"GCP RStudio, PBC RStudio Server Pro Standard for GCP","RStudio, Inc.",45B6-A6C1-39C2:RStudioInc,australia-southeast1,1182.959682
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,360C-99CB-EB21:Fortigcpproject001,us-west2,1163.874705
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,E56A-940F-3700:41748,europe-west4,1053.386323
"GCP Palo Alto Networks, Inc. VM-Series Next-Generation Firewall (Bundle2)","Palo Alto Networks, Inc.",AE77-ABC5-AE32:PaloAltoNetworksInc,us-central1,1046.2221490000002
"GCP Palo Alto Networks, Inc. VM-Series Next-Generation Firewall (Bundle2)","Palo Alto Networks, Inc.",AE77-ABC5-AE32:PaloAltoNetworksInc,us-west4,1036.446641
"GCP NGINX, Inc NGINX Plus Enterprise - RHEL 8","NGINX, Inc",15CD-827E-A8D3:NGINXInc,us-west2,1011.8394850000003
GCP Maidenhead Bridge Limited csc-gre-1g-gloud,Maidenhead Bridge Limited,7B46-B41D-D374:MaidenheadBridgeLimited,europe-west2,1009.8561276454179
GCP Fortinet Inc. Fortinet FortiADC Application Delivery Controller PAYG 10Gbps,Fortinet Inc.,A808-EE38-9D59:FortinetInc,europe-west3,1001.4390229999997
"GCP Palo Alto Networks, Inc. VM-Series Next-Generation Firewall Bundle 2",Palo Alto Networks,6C97-F838-70BB:PaloAltoNetworks,us-east1,952.3195790000002
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,51EF-10DE-2429:Fortigcpproject001,us-central1,929.3430475199084
GCP Redis Labs Redis Enterprise Cloud,Redis Labs,927F-346C-7CD9:RedisLabs,(not set),886.5399999999997
GCP Compute Engine,Canonical,48A8-08F0-0B4A:Canonical,us-east1,845.4723369999998
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,2B07-BB4E-16DD:41748,us-central1,825.8397820000004
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,2B07-BB4E-16DD:41748,us-east4,819.1998000000002
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,360C-99CB-EB21:Fortigcpproject001,us-east4,817.7912740000003
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,360C-99CB-EB21:Fortigcpproject001,us-east1,817.4059410000002
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,1799-9615-FEB5:Fortigcpproject001,us-east5,758.879682
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,1799-9615-FEB5:Fortigcpproject001,europe-north1,758.8796819999999
GCP Fortinet Inc. Fortinet FortiADC Application Delivery Controller PAYG 1Gbps,Fortinet Inc.,A015-0A74-1251:FortinetInc,us-west4,743.9995790000002
GCP Fortinet Inc. Fortinet FortiADC Application Delivery Controller PAYG 5Gbps,Fortinet Inc.,A4C3-9442-6186:FortinetInc,australia-southeast2,737.9019679999999
GCP Maidenhead Bridge Limited csc-gre-1g-gloud,Maidenhead Bridge Limited,7B46-B41D-D374:MaidenheadBridgeLimited,us-east4,673.236571384702
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,BD3A-C098-07D4:Fortigcpproject001,us-west1,654.7195800000002
GCP Compute Engine,Canonical,E783-3E2A-23DB:Canonical,us-east1,641.545815
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,1799-9615-FEB5:Fortigcpproject001,asia-south1,633.974515
GCP CIS (Center for Internet Security) CIS Red Hat Enterprise Linux 8 Benchmark - Level 1,CIS (Center for Internet Security),B212-EB4C-74CB:CIS(CenterforInternetSecurity),us-central1,619.2119039999999
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,64A1-DB8B-7CDA:41748,us-east4,613.8
GCP Qumulo 5TB Hybrid Qumulo File System Instance,qumulo-public,F9ED-6568-E6E2:Qumulopublic,us-east4,592.2233879999999
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,E56A-940F-3700:41748,europe-west2,558.248629
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,51EF-10DE-2429:Fortigcpproject001,europe-north1,535.6800000000001
GCP Fortinet Inc. Fortinet FortiADC Application Delivery Controller PAYG 1Gbps,Fortinet Inc.,A015-0A74-1251:FortinetInc,australia-southeast2,527.0730229999999
GCP Compute Engine,Canonical,69F1-E4DD-0213:Canonical,europe-west2,525.435932
GCP JFrog Cloud Pro X,JFrog,6429-EB0B-E705:JFrog,(not set),498.9978239999997
GCP Compute Engine,RedHat,0E03-6D90-51FE:RedHat,europe-west3,474.27295400000014
GCP Compute Engine,Canonical,39FC-D2F3-6981:Canonical,northamerica-northeast1,465.7951489999999
GCP Fortinet Inc. Fortinet FortiADC Application Delivery Controller PAYG 500Mbps,Fortinet Inc.,557B-515C-1A75:FortinetInc,us-west1,446.3058490000001
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,2B07-BB4E-16DD:41748,europe-west4,409.2005370000001
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,2B07-BB4E-16DD:41748,us-west4,409.20000000000016
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,2B07-BB4E-16DD:41748,europe-west3,409.2000000000001
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,64A1-DB8B-7CDA:41748,australia-southeast1,399.51603277827144
GCP CIS (Center for Internet Security) CIS Red Hat Enterprise Linux 8 Benchmark - Level 1,CIS (Center for Internet Security),B212-EB4C-74CB:CIS(CenterforInternetSecurity),us-west1,386.914332
GCP Fortinet Inc. Fortinet FortiADC Application Delivery Controller PAYG 500Mbps,Fortinet Inc.,557B-515C-1A75:FortinetInc,asia-east1,332.18543100000005
"GCP Palo Alto Networks, Inc. VM-Series Next-Generation Firewall (Bundle2)","Palo Alto Networks, Inc.",AE77-ABC5-AE32:PaloAltoNetworksInc,us-west1,331.62619800000004
"GCP Palo Alto Networks, Inc. VM-Series Next-Generation Firewall (Bundle2)","Palo Alto Networks, Inc.",AE77-ABC5-AE32:PaloAltoNetworksInc,us-east1,330.8150580000001
GCP Fortinet Inc. Fortinet FortiADC Application Delivery Controller PAYG 10Gbps,Fortinet Inc.,A808-EE38-9D59:FortinetInc,us-west1,328.913659
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,9666-B734-2423:41748,us-east4,321.16779500000007
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,009E-7D88-7AE8:41748,europe-west4,306.90040299999987
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,009E-7D88-7AE8:41748,europe-west2,304.50777055556966
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,009E-7D88-7AE8:41748,australia-southeast1,299.63714535481245
GCP Compute Engine,Canonical,BE05-E56C-40DB:Canonical,us-east1,271.93467999999996
GCP Compute Engine,Canonical,E783-3E2A-23DB:Canonical,europe-west2,270.7439769999999
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,51EF-10DE-2429:Fortigcpproject001,europe-west1,267.85570000000007
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,51EF-10DE-2429:Fortigcpproject001,us-east1,267.83660000000003
GCP CIS (Center for Internet Security) CIS CentOS Linux 7 Benchmark v2.2.1 Level 1,Center for Internet Security,9579-D315-1B22:CenterforInternetSecurity,us-east1,256.9606299999999
"GCP F5 Networks F5 BIG-IP Virtual Edition - GOOD  (PAYG, 25Mbps)",F5 Networks,C319-1364-89D4:F5Networks,europe-west1,243.77538684227437
GCP Compute Engine,Canonical,E783-3E2A-23DB:Canonical,northamerica-northeast1,240.34908500000003
GCP CIS (Center for Internet Security) CIS Microsoft Windows Server 2019 Benchmark - Level 1,CIS (Center for Internet Security),9568-5E4D-E61A:CIS(CenterforInternetSecurity),us-east4,238.07684799999998
GCP CIS (Center for Internet Security) CIS Red Hat Enterprise Linux 7 Benchmark - Level 2,CIS (Center for Internet Security),FFE5-F5BD-EC93:CIS(CenterforInternetSecurity),australia-southeast1,236.40758519690613
GCP Compute Engine,Canonical,39FC-D2F3-6981:Canonical,europe-west2,222.85860799999995
"GCP Palo Alto Networks, Inc. VM-Series Next-Generation Firewall (Bundle1)","Palo Alto Networks, Inc.",5CC6-47E9-878D:PaloAltoNetworksInc,us-west1,210.61626499999997
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,64A1-DB8B-7CDA:41748,us-west2,204.60000000000008
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,64A1-DB8B-7CDA:41748,europe-west2,204.60000000000002
GCP Compute Engine,Canonical,E803-054E-3FDF:Canonical,us-east1,201.73321299999995
GCP CIS (Center for Internet Security) CIS Microsoft Windows Server 2019 Benchmark - Level 1,CIS (Center for Internet Security),9568-5E4D-E61A:CIS(CenterforInternetSecurity),northamerica-northeast1,178.55788399999997
GCP CIS (Center for Internet Security) CIS Ubuntu Linux 18.04 LTS Benchmark - Level 1,CIS (Center for Internet Security),0732-9E69-CF0C:CIS(CenterforInternetSecurity),us-central1,155.176559
GCP Compute Engine,Canonical,48A8-08F0-0B4A:Canonical,us-west1,149.449021
GCP Cloud Infrastructure Services Terraform on Ubuntu 18.04 LTS,Cloud Infrastructure Services,BC8E-4704-2B23:CloudInfrastructureServices,us-east4,148.797395
GCP Compute Engine,Canonical,E783-3E2A-23DB:Canonical,australia-southeast1,142.663149
GCP Compute Engine,Canonical,69F1-E4DD-0213:Canonical,australia-southeast1,137.95886500000003
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,1799-9615-FEB5:Fortigcpproject001,asia-south2,135.43554199999997
GCP CIS (Center for Internet Security) CIS NGINX on CentOS Linux 7 Benchmark - Level 1 - Webserver,CIS (Center for Internet Security),F138-E967-A327:CIS(CenterforInternetSecurity),us-east1,133.918399
GCP CIS (Center for Internet Security) CIS Ubuntu Linux 20.04 LTS Benchmark - Level 1,CIS (Center for Internet Security),0DC2-7EDF-E7E0:CIS(CenterforInternetSecurity),us-central1,132.64113600000002
GCP Compute Engine,Canonical,BE05-E56C-40DB:Canonical,us-west1,124.15094799999997
GCP CIS (Center for Internet Security) CIS NGINX on CentOS Linux 7 Benchmark - Level 1 - Webserver,CIS (Center for Internet Security),F138-E967-A327:CIS(CenterforInternetSecurity),us-east4,119.7537
GCP Compute Engine,Canonical,39FC-D2F3-6981:Canonical,us-west1,118.11838700000004
GCP Compute Engine,Canonical,E783-3E2A-23DB:Canonical,us-west1,112.661502
GCP Cognosys Inc. Secured SQL Server 2017 Standard on Windows Server 2016,Cognosys,F09A-434E-150C:Cognosys,asia-southeast1,111.59968199999996
GCP Cloud Infrastructure Services Proxy Cache Server using Squid,Cloud Infrastructure Services,800B-249C-EA25:CloudInfrastructureServices,northamerica-northeast1,111.59874000000003
GCP CIS (Center for Internet Security) CIS Debian Linux 10 Benchmark - Level 1,CIS (Center for Internet Security),B8F6-14B8-E9C3:CIS(CenterforInternetSecurity),us-west2,104.15797500000002
GCP Techlatest.net Metabase Data Visualization & BI Platform,Techlatest.net,F415-AB1A-0B14:Techlatestnet,europe-north1,96.26618929941492
GCP Aiven Managed Database Services,Aiven,8881-4DE9-7246:Aiven,(not set),91.512
GCP CIS (Center for Internet Security) CIS Microsoft Windows Server 2019 Benchmark - Level 2,CIS (Center for Internet Security),BC6C-DFB8-6BDA:CIS(CenterforInternetSecurity),europe-west1,89.86555100000001
GCP Compute Engine,Canonical,48A8-08F0-0B4A:Canonical,northamerica-northeast1,88.88092599999999
GCP Compute Engine,Canonical,48A8-08F0-0B4A:Canonical,europe-west2,88.85954199999998
GCP Compute Engine,Canonical,39FC-D2F3-6981:Canonical,australia-southeast1,81.130256
GCP Filemage LLC FileMage SFTP/FTP Gateway,Filemage LLC,CD43-A79A-3E1F:FilemageLLC,europe-west3,74.48848993689285
GCP Cognosys Inc. Secured SQL Server 2017 Standard on Windows Server 2016,Cognosys,9431-4E3F-0D18:Cognosys,asia-southeast1,74.399579
"GCP F5 Networks F5 BIG-IP Virtual Edition - GOOD  (PAYG, 25Mbps)",F5 Networks,C319-1364-89D4:F5Networks,northamerica-northeast2,68.62628400000003
GCP Filemage LLC FileMage SFTP/FTP Gateway,Filemage LLC,CD43-A79A-3E1F:FilemageLLC,europe-west2,65.0188955
GCP Compute Engine,Canonical,48A8-08F0-0B4A:Canonical,australia-southeast1,62.88066
GCP Compute Engine,Canonical,E783-3E2A-23DB:Canonical,northamerica-northeast2,62.452213000000015
GCP Compute Engine,Canonical,E783-3E2A-23DB:Canonical,europe-west3,60.260505
GCP Compute Engine,Canonical,AE9F-122E-5B38:Canonical,us-east1,55.677730999999994
GCP Compute Engine,Canonical,69F1-E4DD-0213:Canonical,asia-south1,53.80037200000002
GCP CIS (Center for Internet Security) CIS Red Hat Enterprise Linux 8 Benchmark - Level 1,CIS (Center for Internet Security),B212-EB4C-74CB:CIS(CenterforInternetSecurity),us-east4,49.521252000000004
"GCP F5 Networks F5 BIG-IP Virtual Edition - BETTER  (PAYG, 5Gbps)",F5 Networks,4450-7158-E202:F5Networks,northamerica-northeast2,48.450404
GCP Compute Engine,Canonical,48A8-08F0-0B4A:Canonical,europe-west3,44.44291100000001
GCP Compute Engine,Canonical,48A8-08F0-0B4A:Canonical,northamerica-northeast2,44.44174299999999
GCP Cloud Infrastructure Services Ansible Control Node Server on CentOS Server 8.4,Cloud Infrastructure Services,C280-0297-B57D:CloudInfrastructureServices,us-central1,37.19958
GCP Cloud Infrastructure Services Terraform on Ubuntu 18.04 LTS,Cloud Infrastructure Services,BC8E-4704-2B23:CloudInfrastructureServices,us-east1,37.027224243358226
GCP CIS (Center for Internet Security) CIS Microsoft Windows Server 2019 Benchmark - Level 1,CIS (Center for Internet Security),9568-5E4D-E61A:CIS(CenterforInternetSecurity),asia-southeast1,29.756875000000008
GCP Compute Engine,Canonical,E803-054E-3FDF:Canonical,northamerica-northeast1,27.56574999999999
GCP Cloud Infrastructure Services Mail Proxy Server using NGINX on Ubuntu,Cloud Infrastructure Services,813B-0852-1093:CloudInfrastructureServices,europe-west3,26.65944488169475
GCP Compute Engine,Canonical,3CCE-91C7-ABF9:Canonical,us-central1,25.810094
GCP Cloud Infrastructure Services GitLab Server (CE) Community Edition on Ubuntu Server 20.04,Cloud Infrastructure Services,47B7-FC90-E881:CloudInfrastructureServices,europe-west1,22.319682000000004
GCP Compute Engine,Canonical,39FC-D2F3-6981:Canonical,asia-south1,18.378390999999997
GCP CIS (Center for Internet Security) CIS Microsoft Windows Server 2016 Benchmark - Level 2,CIS (Center for Internet Security),F78F-D4B0-B782:CIS(CenterforInternetSecurity),us-central1,14.879579000000001
GCP CIS (Center for Internet Security) CIS Ubuntu Linux 20.04 LTS STIG Benchmark,CIS (Center for Internet Security),75D1-5A16-BB0C:CIS(CenterforInternetSecurity),us-east4,14.879579000000001
GCP CIS (Center for Internet Security) CIS CentOS Linux 7 Benchmark v2.2.1 Level 1,Center for Internet Security,9579-D315-1B22:CenterforInternetSecurity,us-central1,14.879579
GCP CIS (Center for Internet Security) CIS Debian Linux 10 Benchmark - Level 1,CIS (Center for Internet Security),B8F6-14B8-E9C3:CIS(CenterforInternetSecurity),us-east4,14.879579
GCP CIS (Center for Internet Security) CIS Microsoft Windows Server 2012 R2 Benchmark - Level 2,CIS Center for Internet Security,F804-438C-881C:CISCenterforInternetSecurity,us-central1,14.879578999999998
GCP CIS (Center for Internet Security) CIS Debian Linux 10 Benchmark - Level 1,CIS (Center for Internet Security),B8F6-14B8-E9C3:CIS(CenterforInternetSecurity),us-central1,14.874622999999998
GCP Compute Engine,Canonical,E803-054E-3FDF:Canonical,australia-southeast1,14.484562999999998
